ts,platform,ms_played,conn_country,ip_addr,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,episode_name,episode_show_name,spotify_episode_uri,audiobook_title,audiobook_uri,audiobook_chapter_uri,audiobook_chapter_title,reason_start,reason_end,shuffle,skipped,offline,offline_timestamp,incognito_mode
2023-09-04T00:45:39Z,ios,90859,US,172.56.209.239,Glory and Majesty,Jon Reddick,"God, Turn It Around",spotify:track:5lvrYFNaUV2eib9Tas1gZK,,,,,,,,playbtn,logout,True,False,False,1693788227.0,False
2023-09-04T00:46:32Z,ios,789,US,172.56.209.239,All This Future,Hillsong UNITED,Are We There Yet?,spotify:track:6G93SuWN95jDzFmoUKZEC7,,,,,,,,fwdbtn,fwdbtn,True,True,False,1693788392.0,False
2023-09-04T00:46:33Z,ios,603,US,172.56.209.239,Glimmer In The Dust,Hillsong UNITED,Wonder,spotify:track:5M3csjImDf6rbOKYqjd9cX,,,,,,,,fwdbtn,fwdbtn,True,True,False,1693788393.0,False
2023-09-04T00:46:33Z,ios,92,US,172.56.209.239,Jesus You Alone,Highlands Worship,Jesus You Alone,spotify:track:4zYvDOveReSl6t86OfBMCU,,,,,,,,fwdbtn,fwdbtn,True,True,False,1693788393.0,False
2023-09-04T00:46:34Z,ios,371,US,172.56.209.239,Promise to the End,LO Worship,Steady Light,spotify:track:28zWWGqnx50babdXULowGa,,,,,,,,fwdbtn,fwdbtn,True,True,False,1693788394.0,False
2023-09-04T00:47:34Z,ios,59907,US,172.56.209.239,Throne Room Song,Charity Gayle,Endless Praise,spotify:track:2jspAMff1XSSzkYhZJtzZV,,,,,,,,fwdbtn,endplay,True,True,False,1693788394.0,False
2023-09-04T00:54:19Z,ios,3683,US,172.56.209.137,,,,,This Conversation About the 'Reading Mind' Is a Gift,The Ezra Klein Show,spotify:episode:5ess4DnMyD2YTmjgU5cggh,,,,,clickrow,endplay,False,True,False,1693788851.0,False
2023-09-04T00:56:38Z,ios,137806,US,172.56.209.137,,,,,The Hidden Costs of Cheap Meat,The Ezra Klein Show,spotify:episode:46g2Hq5yahfPUYZzTgoTrl,,,,,trackdone,endplay,False,True,False,1693788860.0,False
2023-09-04T03:57:35Z,ios,8837398,US,172.56.209.71,,,,,This Conversation About the 'Reading Mind' Is a Gift,The Ezra Klein Show,spotify:episode:5ess4DnMyD2YTmjgU5cggh,,,,,clickrow,logout,False,False,False,1693788999.0,False
2023-09-04T22:19:25Z,ios,21571,US,172.56.209.173,Another In The Fire - Live,Hillsong UNITED,People,spotify:track:5PmHmU5AaBy9ld3bdQkD96,,,,,,,,playbtn,fwdbtn,True,True,False,1693865944.0,False
2023-09-04T22:21:11Z,ios,72097,US,172.56.209.173,Highlands (Song Of Ascent) - Live,Hillsong UNITED,People,spotify:track:78bUGqKRoXN8kJY1AeWhzt,,,,,,,,fwdbtn,fwdbtn,True,True,False,1693865966.0,False
2023-09-04T22:22:18Z,ios,66989,US,172.56.209.173,Way Maker - Live,Leeland,Better Word,spotify:track:40ozK0lCJ0EQzVGWsCNUhk,,,,,,,,fwdbtn,endplay,True,True,False,1693866071.0,False
2023-09-04T22:22:24Z,ios,5085,US,172.56.209.173,Future Marches In,Hillsong UNITED,Wonder,spotify:track:1IHDXQRwKiBmAjWLzOrIpc,,,,,,,,playbtn,fwdbtn,True,True,False,1693866139.0,False
2023-09-04T22:23:07Z,ios,3122,US,172.56.209.173,Way Maker - Live,Leeland,Better Word,spotify:track:40ozK0lCJ0EQzVGWsCNUhk,,,,,,,,fwdbtn,endplay,True,True,False,1693866175.0,False
2023-09-04T22:23:24Z,ios,17368,US,172.56.209.173,Way Maker - Live,Leeland,Better Word,spotify:track:40ozK0lCJ0EQzVGWsCNUhk,,,,,,,,playbtn,endplay,True,True,False,1693866187.0,False
2023-09-04T22:23:40Z,ios,14791,US,172.56.208.159,Not Even Once - Acoustic,Benjamin William Hastings,Benjamin William Hastings (And Then Some),spotify:track:2ZCHnyzFM7wd5c26AacLvm,,,,,,,,playbtn,logout,True,False,False,1693866206.0,False
2023-09-04T22:25:57Z,ios,3645,US,172.56.208.159,Way Maker - Live,Leeland,Better Word,spotify:track:40ozK0lCJ0EQzVGWsCNUhk,,,,,,,,playbtn,fwdbtn,True,True,False,1693866353.0,False
2023-09-04T22:25:58Z,ios,1253,US,172.56.208.159,Jesus You Alone,Highlands Worship,Jesus You Alone,spotify:track:4zYvDOveReSl6t86OfBMCU,,,,,,,,fwdbtn,fwdbtn,True,True,False,1693866358.0,False
2023-09-04T22:26:00Z,ios,417,US,172.56.208.159,"God, Turn It Around",Jon Reddick,"God, Turn It Around",spotify:track:7o7YMusB6yqUQUtz7lDVrg,,,,,,,,fwdbtn,fwdbtn,True,True,False,1693866359.0,False
2023-09-04T22:26:52Z,ios,52244,US,172.56.208.159,I Speak Jesus,Charity Gayle,Endless Praise,spotify:track:467ywsenaNywwCuYhmBb5N,,,,,,,,fwdbtn,endplay,True,True,False,1693866360.0,False
2023-09-04T22:33:23Z,ios,391413,US,172.56.208.159,Throne Room Song,Charity Gayle,Endless Praise,spotify:track:2jspAMff1XSSzkYhZJtzZV,,,,,,,,playbtn,trackdone,True,False,False,1693866412.0,False
2023-09-04T22:39:45Z,ios,382573,US,172.56.208.159,Echoes (Till We See The Other Side) - Live,Hillsong UNITED,People,spotify:track:0oHYnQXUrFoIm0xraAmdNG,,,,,,,,trackdone,trackdone,True,False,False,1693866803.0,False
2023-09-04T22:44:31Z,ios,253653,US,172.56.208.159,Not Today,Hillsong UNITED,Wonder,spotify:track:33Nyq9QfKCXEQtzeg22vg7,,,,,,,,trackdone,trackdone,True,False,False,1693867217.0,False
2023-09-04T22:49:03Z,ios,272426,US,172.56.208.159,Come Alive,Hillsong Worship,Awake,spotify:track:78pKjOa4gToyRxn3cVc7Sa,,,,,,,,trackdone,trackdone,True,False,False,1693867471.0,False
2023-09-04T22:55:51Z,ios,400200,US,172.56.208.159,Canvas And Clay - Live,Pat Barrett,Canvas And Clay,spotify:track:6StDOwqq1OmVlSKptJ6Fn0,,,,,,,,trackdone,trackdone,True,False,False,1693867755.0,False
2023-09-04T23:02:12Z,ios,347892,US,172.56.208.159,How I Need You,Highlands Worship,Jesus You Alone,spotify:track:2K0taxDhRaOUBJ0GluNnnb,,,,,,,,trackdone,trackdone,True,False,False,1693868185.0,False
2023-09-04T23:06:57Z,ios,284819,US,172.56.208.159,Promise to the End,LO Worship,Steady Light,spotify:track:28zWWGqnx50babdXULowGa,,,,,,,,trackdone,trackdone,True,False,False,1693868533.0,False
2023-09-04T23:11:43Z,ios,284970,US,172.56.208.159,Glory and Majesty,Jon Reddick,"God, Turn It Around",spotify:track:5lvrYFNaUV2eib9Tas1gZK,,,,,,,,trackdone,trackdone,True,False,False,1693868818.0,False
2023-09-04T23:15:04Z,ios,200079,US,172.56.208.159,EVERYTHING EVERYTHING,ELEVATION RHYTHM,EVERYTHING EVERYTHING,spotify:track:2pMc6SJXAZe1HNwY8lQLby,,,,,,,,trackdone,trackdone,True,False,False,1693869104.0,False
2023-09-04T23:19:01Z,ios,200017,US,172.56.208.159,NEVER WALK AWAY,ELEVATION RHYTHM,NEVER WALK AWAY,spotify:track:0HJ8YJ3KXYhEEO90gb1bjp,,,,,,,,trackdone,trackdone,True,False,False,1693869341.0,False
2023-09-04T23:25:04Z,ios,362746,US,172.56.208.159,You Deserve It All,Josh Baldwin,The War Is Over,spotify:track:2e5gy7g1ZNm1VgIds9PC0E,,,,,,,,trackdone,trackdone,True,False,False,1693869542.0,False
2023-09-04T23:32:08Z,ios,333933,US,172.56.208.159,Holy Ground - Live,Hillsong UNITED,People,spotify:track:0rTeyZcuD8Txwtopb4lYcV,,,,,,,,trackdone,trackdone,True,False,False,1693869905.0,False
2023-09-04T23:34:32Z,ios,142114,US,172.56.208.159,Throne Room Song,Charity Gayle,Endless Praise,spotify:track:2jspAMff1XSSzkYhZJtzZV,,,,,,,,trackdone,fwdbtn,True,True,False,1693870328.0,False
2023-09-04T23:42:18Z,ios,409996,US,172.56.208.159,Make Room - Live,Community Music,Make Room,spotify:track:4CJAaPdYuz8pwexNaYAF3j,,,,,,,,fwdbtn,trackdone,True,False,False,1693870502.0,False
2023-09-04T23:49:12Z,ios,382573,US,172.56.208.159,Echoes (Till We See The Other Side) - Live,Hillsong UNITED,People,spotify:track:0oHYnQXUrFoIm0xraAmdNG,,,,,,,,trackdone,trackdone,True,False,False,1693870969.0,False
2023-09-04T23:55:18Z,ios,335400,US,172.56.208.159,Fountains,Josh Baldwin,The War Is Over,spotify:track:6sIEO9ZDhpW0BhCz1ZFIYV,,,,,,,,trackdone,trackdone,True,False,False,1693871383.0,False
2023-09-04T23:59:53Z,ios,274534,US,172.56.208.159,That's The Power - Live,Hillsong Worship,These Same Skies,spotify:track:4fA75ecQMGhP7Wld2kT0ZY,,,,,,,,trackdone,trackdone,True,False,False,1693871719.0,False
2023-09-05T00:05:18Z,ios,324653,US,172.56.208.159,Welcome King Jesus,People & Songs,"The Emerging Sound, Vol. 5",spotify:track:47qSl58YNWtZmpH34JvGJZ,,,,,,,,trackdone,trackdone,True,False,False,1693871994.0,False
2023-09-05T00:11:38Z,ios,347892,US,172.56.208.159,How I Need You,Highlands Worship,Jesus You Alone,spotify:track:2K0taxDhRaOUBJ0GluNnnb,,,,,,,,trackdone,trackdone,True,False,False,1693872350.0,False
2023-09-05T00:16:23Z,ios,284819,US,172.56.208.159,Promise to the End,LO Worship,Steady Light,spotify:track:28zWWGqnx50babdXULowGa,,,,,,,,trackdone,trackdone,True,False,False,1693872699.0,False
2023-09-05T00:21:28Z,ios,284970,US,172.56.208.159,Glory and Majesty,Jon Reddick,"God, Turn It Around",spotify:track:5lvrYFNaUV2eib9Tas1gZK,,,,,,,,trackdone,trackdone,True,False,False,1693873003.0,False
2023-09-05T00:26:31Z,ios,302320,US,172.56.208.159,Come Alive - Acoustic/Live,Hillsong Worship,Awake,spotify:track:3Jlz5N8yjkKKqsddga4fIA,,,,,,,,trackdone,trackdone,True,False,False,1693873288.0,False
2023-09-05T00:31:28Z,ios,296400,US,172.56.208.159,You Satisfy (feat. Elyssa Smith),Upper Room Music,Center of Your Love,spotify:track:7suC4UpFBmXv0KRfYdW09F,,,,,,,,trackdone,trackdone,True,False,False,1693873591.0,False
2023-09-05T00:37:20Z,ios,351311,US,172.56.208.159,Mystery (Hidden Things),VOUS Worship,Mystery (Hidden Things),spotify:track:79lRyqkCvt3mwbYE9rKvFy,,,,,,,,trackdone,trackdone,True,False,False,1693873888.0,False
2023-09-05T00:43:36Z,ios,333933,US,172.56.208.159,Holy Ground - Live,Hillsong UNITED,People,spotify:track:0rTeyZcuD8Txwtopb4lYcV,,,,,,,,trackdone,trackdone,True,False,False,1693874271.0,False
2023-09-05T00:58:10Z,ios,391413,US,172.56.208.159,Throne Room Song,Charity Gayle,Endless Praise,spotify:track:2jspAMff1XSSzkYhZJtzZV,,,,,,,,trackdone,trackdone,True,False,False,1693874617.0,False
2023-09-05T01:04:32Z,ios,382573,US,172.56.208.159,Echoes (Till We See The Other Side) - Live,Hillsong UNITED,People,spotify:track:0oHYnQXUrFoIm0xraAmdNG,,,,,,,,trackdone,trackdone,True,False,False,1693875490.0,False
2023-09-05T01:08:58Z,ios,265466,US,172.56.208.159,God So Loved,We The Kingdom,Holy Water,spotify:track:2kcKzbmiyS7kpwSka7nSmt,,,,,,,,trackdone,trackdone,True,False,False,1693875873.0,False
2023-09-05T01:09:58Z,ios,14245,US,172.56.208.159,Shelter In,VOUS Worship,Shelter In,spotify:track:7pT9gaxPJul5gPHr1dXpa7,,,,,,,,trackdone,logout,True,False,False,1693876169.0,False
2023-09-05T01:16:22Z,ios,372150,US,172.56.208.159,Jesus You Alone,Highlands Worship,Jesus You Alone,spotify:track:4zYvDOveReSl6t86OfBMCU,,,,,,,,playbtn,trackdone,True,False,False,1693876211.0,False
2023-09-05T01:24:42Z,ios,469480,US,172.56.208.159,I Speak Jesus,Charity Gayle,Endless Praise,spotify:track:467ywsenaNywwCuYhmBb5N,,,,,,,,trackdone,trackdone,True,False,False,1693876613.0,False
2023-09-05T01:29:54Z,ios,296346,US,172.56.208.159,Homeward,Benjamin William Hastings,Benjamin William Hastings,spotify:track:40RBdwPJGol3XYg2T7jR5Y,,,,,,,,trackdone,trackdone,True,False,False,1693877099.0,False
2023-09-05T01:36:26Z,ios,390426,US,172.56.208.159,Highlands (Song Of Ascent) - Live,Hillsong UNITED,People,spotify:track:78bUGqKRoXN8kJY1AeWhzt,,,,,,,,trackdone,trackdone,True,False,False,1693877395.0,False
2023-09-05T01:43:57Z,ios,432640,US,172.56.208.159,I Am Loved,Mack Brock,I Am Loved,spotify:track:3eWfz0o9bJZ3t9GCPjLtQD,,,,,,,,trackdone,trackdone,True,False,False,1693877805.0,False
2023-09-05T01:47:41Z,ios,222813,US,172.56.208.159,This Is a Move,Brandon Lake,This Is a Move,spotify:track:7cRrS2PIyaXzmNDTFckXJ2,,,,,,,,trackdone,trackdone,True,False,False,1693878238.0,False
2023-09-05T01:53:10Z,ios,307026,US,172.56.208.159,Christ Is Risen,Mack Brock,Greater Things,spotify:track:1GQsaKKI0ZJJPI5Zsop20u,,,,,,,,trackdone,trackdone,True,False,False,1693878477.0,False
2023-09-05T01:57:35Z,ios,265377,US,172.56.208.159,Endless Alleluia,Cory Asbury,Reckless Love,spotify:track:0mqDhUDKwpnDvIFoQYR524,,,,,,,,trackdone,trackdone,True,False,False,1693878790.0,False
2023-09-05T02:03:04Z,ios,296365,US,172.56.208.159,Miracle,Mosaic MSC,Miracle,spotify:track:54rJa67IrktOcXKYw7wGTR,,,,,,,,trackdone,trackdone,True,False,False,1693879086.0,False
2023-09-05T02:11:30Z,ios,503240,US,172.56.208.159,Way Maker - Live,Leeland,Better Word,spotify:track:40ozK0lCJ0EQzVGWsCNUhk,,,,,,,,trackdone,trackdone,True,False,False,1693879385.0,False
2023-09-05T02:16:16Z,ios,255320,US,172.56.208.159,"God, Turn It Around",Jon Reddick,"God, Turn It Around",spotify:track:7o7YMusB6yqUQUtz7lDVrg,,,,,,,,trackdone,trackdone,True,False,False,1693879921.0,False
2023-09-05T02:20:30Z,ios,252957,US,172.56.208.159,Born Again,Cory Asbury,Reckless Love,spotify:track:7dhXGtYEZrxzkIsB1kY0Ps,,,,,,,,trackdone,trackdone,True,False,False,1693880177.0,False
2023-09-05T02:27:22Z,ios,380249,US,172.56.209.29,Abide,Kingdom Culture Worship,Kingdom Culture Worship,spotify:track:2hKuhm3kV2lxDjVzS8pqr5,,,,,,,,trackdone,unexpected-exit-while-paused,True,False,False,1693880461.0,False
2023-09-05T04:16:05Z,ios,5712,US,172.56.209.29,There Is A Time - Cafe Session,Anna Golden,Peace: The Album,spotify:track:6VpzdGGjpGxGYugop3EiVP,,,,,,,,playbtn,endplay,True,True,False,1693887312.0,False
2023-09-05T04:18:26Z,ios,140533,US,172.56.209.29,Mood (feat. iann dior),24kGoldn,El Dorado,spotify:track:4jPy3l0RUwlUI9T5XHBW2m,,,,,,,,clickrow,trackdone,False,False,False,1693887366.0,False
2023-09-05T04:19:48Z,ios,50132,US,172.56.209.29,Sava i Dunav,Henny,Sava i Dunav,spotify:track:64IFiUCsksRiHrUwfPKw6H,,,,,,,,trackdone,endplay,False,True,False,1693887537.0,False
2023-09-05T04:23:31Z,ios,222496,US,172.56.209.29,Bad Habits (feat. Tion Wayne & Central Cee) [Fumez The Engineer Remix],Ed Sheeran,Bad Habits (feat. Tion Wayne & Central Cee) [Fumez The Engineer Remix],spotify:track:0VcgLoEMA06AKqPxxj2YQs,,,,,,,,playbtn,trackdone,True,False,False,1693887589.0,False
2023-09-05T04:25:27Z,ios,103568,US,172.56.209.29,2step (feat. Lil Baby),Ed Sheeran,2step,spotify:track:1qqSQhDwPXl8WY0Fxx9kIt,,,,,,,,trackdone,endplay,True,True,False,1693887812.0,False
2023-09-05T04:32:05Z,ios,362448,US,172.56.209.70,Highlands (Song Of Ascent) - Live,Hillsong UNITED,People,spotify:track:78bUGqKRoXN8kJY1AeWhzt,,,,,,,,playbtn,logout,True,False,False,1693887955.0,False
2023-09-06T00:11:11Z,ios,14791,US,172.56.209.70,Highlands (Song Of Ascent) - Live,Hillsong UNITED,People,spotify:track:78bUGqKRoXN8kJY1AeWhzt,,,,,,,,appload,endplay,True,True,False,1693958974.0,False
2023-09-06T00:18:18Z,ios,393360,US,172.56.209.70,Another In The Fire - Live,Hillsong UNITED,People,spotify:track:5PmHmU5AaBy9ld3bdQkD96,,,,,,,,fwdbtn,trackdone,True,False,False,1693959106.0,False
2023-09-06T00:26:45Z,ios,159955,US,172.56.209.42,Know You Will,Hillsong UNITED,Are We There Yet?,spotify:track:1msuK7HwKl3wgQGMLU0XQU,,,,,,,,trackdone,unexpected-exit-while-paused,True,False,False,1693959529.0,False
2023-09-07T00:56:36Z,ios,58551,US,172.56.209.42,Know You Will,Hillsong UNITED,Are We There Yet?,spotify:track:1msuK7HwKl3wgQGMLU0XQU,,,,,,,,appload,trackdone,True,False,False,1694048128.0,False
2023-09-07T00:56:46Z,ios,8634,US,172.56.209.42,Homeward,Benjamin William Hastings,Benjamin William Hastings,spotify:track:40RBdwPJGol3XYg2T7jR5Y,,,,,,,,trackdone,endplay,True,True,False,1694048197.0,False
2023-09-07T00:56:56Z,ios,8498,US,172.56.209.42,2step,Ed Sheeran,=,spotify:track:2SUxn2O9NHL6GHGQFgwCY0,,,,,,,,playbtn,endplay,True,True,False,1694048207.0,False
2023-09-07T01:03:16Z,ios,353546,US,172.56.209.42,Good Grace - Live,Hillsong UNITED,People,spotify:track:7nzmXUrZwSOJPNmV0mOmEn,,,,,,,,playbtn,trackdone,True,False,False,1694048242.0,False
2023-09-07T01:09:50Z,ios,393360,US,172.56.209.42,Another In The Fire - Live,Hillsong UNITED,People,spotify:track:5PmHmU5AaBy9ld3bdQkD96,,,,,,,,trackdone,trackdone,True,False,False,1694048597.0,False
2023-09-07T01:16:03Z,ios,372150,US,172.56.209.42,Jesus You Alone,Highlands Worship,Jesus You Alone,spotify:track:4zYvDOveReSl6t86OfBMCU,,,,,,,,trackdone,trackdone,True,False,False,1694048990.0,False
2023-09-07T01:19:42Z,ios,218104,US,172.56.208.14,Highlands (Song Of Ascent) - Live,Hillsong UNITED,People,spotify:track:78bUGqKRoXN8kJY1AeWhzt,,,,,,,,trackdone,unexpected-exit-while-paused,True,False,False,1694049363.0,False
2023-09-08T17:30:58Z,ios,330360,US,172.56.208.14,Hosanna,Hillsong UNITED,All Of The Above,spotify:track:5VlojXyAGM1q9ke2ybxrVT,,,,,,,,playbtn,trackdone,True,False,False,1694193925.0,False
2023-09-08T17:40:26Z,ios,535962,US,172.56.208.14,Oceans (Where Feet May Fail),Hillsong UNITED,Zion,spotify:track:5Mw9bXG1dLNhbjofkVS2oR,,,,,,,,trackdone,trackdone,True,False,False,1694194290.0,False
2023-09-08T17:45:18Z,ios,262120,US,172.56.208.14,Touch The Sky,Hillsong UNITED,Empires,spotify:track:58yhHre6kOePZPD15hZWgP,,,,,,,,trackdone,trackdone,True,False,False,1694194856.0,False
2023-09-08T17:49:34Z,ios,255320,US,172.56.208.14,"God, Turn It Around",Jon Reddick,"God, Turn It Around",spotify:track:7o7YMusB6yqUQUtz7lDVrg,,,,,,,,trackdone,trackdone,True,False,False,1694195119.0,False
2023-09-08T17:54:10Z,ios,245945,US,172.56.208.14,Scandal Of Grace,Hillsong UNITED,Zion,spotify:track:0st2C7aLz9xkr7JyshhUHK,,,,,,,,trackdone,trackdone,True,False,False,1694195405.0,False
2023-09-08T18:02:21Z,ios,490000,US,172.56.208.14,New Wine - Live,Hillsong Worship,There Is More,spotify:track:1MX4dx6yNvAH2GjIVsUF4h,,,,,,,,trackdone,trackdone,True,False,False,1694195651.0,False
2023-09-08T18:06:40Z,ios,258626,US,172.56.208.14,Lead Me To The Cross,Hillsong UNITED,All Of The Above,spotify:track:7i2ZmmyLzE7NcFAJl30mKY,,,,,,,,trackdone,trackdone,True,False,False,1694196142.0,False
2023-09-08T18:07:13Z,ios,1037,US,172.56.208.14,Way Maker - Live,Leeland,Better Word,spotify:track:40ozK0lCJ0EQzVGWsCNUhk,,,,,,,,trackdone,fwdbtn,True,True,False,1694196431.0,False
2023-09-08T18:11:36Z,ios,263990,US,172.56.208.14,Like An Avalanche,Hillsong UNITED,Aftermath,spotify:track:6SdrlZFwXzbO51QtOldqy7,,,,,,,,fwdbtn,trackdone,True,False,False,1694196434.0,False
2023-09-08T18:45:27Z,ios,250713,US,172.56.208.109,Holy Spirit,Francesca Battistelli,If We're Honest (Deluxe Version),spotify:track:0VqMBJyeeRA4I6mSPO5uqZ,,,,,,,,trackdone,endplay,True,True,False,1694196697.0,False
2023-09-09T00:11:35Z,ios,128251,US,204.148.188.38,Another In The Fire - Live,Hillsong UNITED,People,spotify:track:5PmHmU5AaBy9ld3bdQkD96,,,,,,,,trackdone,unexpected-exit-while-paused,True,False,False,1694218166.0,False
2023-09-09T00:12:31Z,ios,17995,US,204.148.188.38,Another In The Fire - Live,Hillsong UNITED,People,spotify:track:5PmHmU5AaBy9ld3bdQkD96,,,,,,,,appload,endplay,True,True,False,1694218330.0,False
2023-09-09T00:16:55Z,ios,222496,US,204.148.188.38,Bad Habits (feat. Tion Wayne & Central Cee) [Fumez The Engineer Remix],Ed Sheeran,Bad Habits (feat. Tion Wayne & Central Cee) [Fumez The Engineer Remix],spotify:track:0VcgLoEMA06AKqPxxj2YQs,,,,,,,,playbtn,trackdone,True,False,False,1694218393.0,False
2023-09-09T00:21:17Z,ios,187111,US,204.148.188.38,Peru,Fireboy DML,Playboy,spotify:track:4vb777iaycnlFxVkJMmtfd,,,,,,,,trackdone,trackdone,True,False,False,1694218616.0,False
2023-09-09T00:23:51Z,ios,153626,US,204.148.188.38,2step,Ed Sheeran,=,spotify:track:2SUxn2O9NHL6GHGQFgwCY0,,,,,,,,trackdone,trackdone,True,False,False,1694218878.0,False
2023-09-09T00:26:22Z,ios,150857,US,204.148.188.38,Captain,Arz,Captain,spotify:track:3V6smv7JlVHAPnp8xegMAd,,,,,,,,trackdone,trackdone,True,False,False,1694219032.0,False
2023-09-09T00:27:35Z,ios,71513,US,204.148.188.38,Bad Habits - MEDUZA Remix,Ed Sheeran,Bad Habits (MEDUZA Remix),spotify:track:12N23tQKmfGcEO0z8ObwtM,,,,,,,,trackdone,endplay,True,True,False,1694219183.0,False
2023-09-09T00:29:18Z,ios,101540,US,204.148.188.38,CITY OF ANGELS,24kGoldn,DROPPED OUTTA COLLEGE,spotify:track:6ap9lSRJ0iLriGLqoJ44cq,,,,,,,,playbtn,endplay,True,True,False,1694219257.0,False
2023-09-09T00:30:32Z,ios,72678,US,204.148.188.38,"Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]",Tion Wayne,IFTK,spotify:track:3QVWYA3NwlmsDCLB5dStjm,,,,,,,,playbtn,endplay,True,True,False,1694219359.0,False
2023-09-09T00:31:10Z,ios,38196,US,204.148.188.38,IFTK,Tion Wayne,IFTK,spotify:track:7u3w4fQhulC1etJbdfmv3Q,,,,,,,,clickrow,fwdbtn,False,True,False,1694219432.0,False
2023-09-09T00:31:41Z,ios,30766,US,204.148.188.38,Feel the Love (feat. John Newman),Rudimental,Home,spotify:track:2VvCoqF4p46cvyVbhbDsaJ,,,,,,,,fwdbtn,endplay,False,True,False,1694219471.0,False
2023-09-09T00:35:08Z,ios,190684,US,204.148.188.38,IFTK,Tion Wayne,IFTK,spotify:track:7u3w4fQhulC1etJbdfmv3Q,,,,,,,,clickrow,trackdone,False,False,False,1694219518.0,False
2023-09-09T00:35:59Z,ios,50418,US,204.148.188.38,Feel the Love (feat. John Newman),Rudimental,Home,spotify:track:2VvCoqF4p46cvyVbhbDsaJ,,,,,,,,trackdone,endplay,False,True,False,1694219708.0,False
2023-09-09T00:38:13Z,ios,132075,US,204.148.188.38,Dear Future Husband,Meghan Trainor,Title,spotify:track:3cU2wBxuV6nFiuf6PJZNlC,,,,,,,,playbtn,logout,True,False,False,1694219761.0,False
2023-09-09T00:41:09Z,ios,140830,US,204.148.188.38,Mood (feat. iann dior),24kGoldn,El Dorado,spotify:track:4jPy3l0RUwlUI9T5XHBW2m,,,,,,,,clickrow,trackdone,False,False,False,1694219930.0,False
2023-09-09T00:44:17Z,ios,159416,US,204.148.188.38,Sava i Dunav,Henny,Sava i Dunav,spotify:track:64IFiUCsksRiHrUwfPKw6H,,,,,,,,trackdone,trackdone,False,False,False,1694220098.0,False
2023-09-09T00:44:51Z,ios,31198,US,204.148.188.38,Roze,Jala Brat,Roze,spotify:track:0JNPCThIHsG8zphORbTR16,,,,,,,,trackdone,endplay,False,True,False,1694220258.0,False
2023-09-09T00:49:04Z,ios,253653,US,204.148.188.38,Not Today,Hillsong UNITED,Wonder,spotify:track:33Nyq9QfKCXEQtzeg22vg7,,,,,,,,playbtn,trackdone,True,False,False,1694220291.0,False
